name,age,country,Ovr,BAT Ovr,Bowl Ovr,B-IQ,Tech,PWR,RUN,ECON,WKT,ACC,CLTH
Gareth Chirawu,20,Zimbabwe,68,67,27,70,69,68,24,27,28,25,21
Darren Stevens,45,England,75,69,57,69,74,68,54,57,58,65,45
Sanjeet Desai,24,India,67,66,27,69,67,68,33,27,28,20,27
Danish Aziz,26,Pakistan,72,68,49,68,71,68,52,52,56,36,22
Kamran Akmal,40,Pakistan,68,67,34,68,71,68,34,28,31,65,38
Vivek Singh,28,India,70,69,32,68,73,68,67,32,32,44,21
Chris Cooke,35,England,70,69,28,66,70,68,88,28,28,44,15
Chadwick Walton,36,West Indies,68,67,30,65,68,68,72,28,30,34,30
Brian Chari,30,Zimbabwe,66,65,28,65,65,68,53,32,33,13,7
Azim Kazi,28,India,73,65,62,64,65,68,43,65,60,28,93
Gajanand Singh,34,United States of America,66,65,26,64,65,68,46,27,28,27,15
Sumit Kumar,26,India,76,67,65,63,71,68,59,70,72,52,34
Alex Blake,33,England,67,66,31,62,67,68,78,29,30,65,7
Sabbir Hossain,24,Bangladesh,65,64,29,61,63,68,63,33,32,19,7
Ben Green,24,England,69,65,49,59,63,68,89,52,53,34,38
Andile Phehlukwayo,25,South Africa,86,62,82,58,63,68,34,78,85,91,75
Muhammad Akhlaq,29,Pakistan,65,64,25,57,66,68,74,27,28,28,6
Yasir Khan,19,Pakistan,65,64,25,57,75,68,19,27,28,17,9
Tobias Visee,31,Netherlands,65,64,26,56,72,68,29,28,30,9,17
Shashank Singh,30,India,64,62,36,54,66,68,44,42,41,17,12
Imran Uzzaman,27,Bangladesh,62,61,25,50,61,68,71,27,28,20,11
Brandon Mavuta,24,Zimbabwe,75,59,68,49,59,68,50,69,68,42,91
Migael Pretorius,26,South Africa,76,57,70,48,54,68,50,70,75,92,31
Krishnappa Gowtham,33,India,70,60,62,46,65,68,54,66,60,83,36
William Somerville,37,New Zealand,66,57,58,46,56,68,43,62,56,77,33
Carl Mumba,26,Zimbabwe,67,59,58,44,66,68,48,59,57,34,77
Vimukthi  Perera,32,Sri Lanka,67,55,60,42,54,68,50,61,57,36,91
Kamal Airee,21,Nepal,69,46,66,29,44,68,12,65,70,75,45
Gayan Sirisoma,40,Sri Lanka,68,50,63,29,52,68,28,67,66,25,75
Steven Smith,32,Australia,81,79,42,88,82,67,82,39,45,42,45
Luke Wright,36,England,77,75,46,83,80,67,57,44,49,40,50
Laurie Evans,34,England,75,74,28,78,78,67,66,28,30,42,8
Mohammad Hafeez,41,Pakistan,82,72,70,76,76,67,49,68,68,97,59
Robin Uthappa,36,India,74,73,28,75,78,67,75,28,30,40,6
Mayank Agarwal,31,India,72,72,26,74,77,67,59,28,30,17,7
Ryan Higgins,27,England,77,70,61,72,73,67,53,60,67,83,22
Craig Williams,37,Namibia,73,69,49,72,72,67,50,47,49,25,79
Pite van Biljon,35,South Africa,69,68,25,71,71,67,47,28,28,7,17
Delano Potgieter,25,South Africa,76,69,62,70,72,67,58,58,62,82,61
Wihan Lubbe,29,South Africa,72,69,44,69,75,67,54,48,46,34,34
Gareth Delany,24,Ireland,78,67,69,68,68,67,51,69,74,25,90
Nic Maddinson,30,Australia,68,67,32,67,70,67,57,33,36,15,31
Mohammad Haris,20,Pakistan,71,70,26,67,75,67,78,28,28,9,27
Adam Rossington,28,England,71,70,30,66,76,67,76,28,30,46,24
Chamika Karunaratne,25,Sri Lanka,82,66,75,65,64,67,67,72,77,70,86
Shane Getkate,30,Ireland,83,65,77,63,65,67,53,69,77,87,98
Nicky van den Bergh,32,South Africa,67,66,29,63,64,67,79,27,28,44,25
Chris Woakes,32,England,84,66,77,62,70,67,66,74,77,99,64
Jack Taylor,30,England,68,66,40,62,70,67,60,41,42,63,8
Ashan Randika,28,Sri Lanka,69,68,27,62,75,67,61,27,28,42,8
Milinda Siriwardana,36,Sri Lanka,71,66,54,61,69,67,76,53,54,94,21
Aaron Thomason,24,England,69,63,53,60,61,67,70,48,57,68,45
Lewis McManus,27,England,66,65,29,60,63,67,88,28,30,28,33
Katene Clarke,22,New Zealand,67,66,25,60,73,67,52,28,28,14,13
Ankit Kaushik,30,India,63,62,30,59,59,67,62,28,31,52,11
Ben Raine,30,England,73,62,64,57,65,67,45,62,65,54,79
Jan Nicol Loftie-Eaton,20,Namibia,70,60,62,57,59,67,35,61,60,40,92
Will Fraine,25,England,65,65,24,57,68,67,85,28,28,8,6
Saliya Saman,36,Sri Lanka,68,61,57,56,61,67,51,60,60,68,22
Louis Kimber,24,England,65,64,27,56,65,67,89,27,28,38,8
Henry Shipley,25,New Zealand,71,65,57,55,70,67,71,62,63,34,36
Hassan Khan,23,Pakistan,78,60,72,53,58,67,72,71,67,95,77
Matty Potts,23,England,82,62,76,52,65,67,66,71,75,82,96
Liam Trevaskis,22,England,75,59,69,51,55,67,77,69,68,89,48
Alexander Kok,23,South Africa,63,61,35,51,69,67,28,37,33,11,54
Sisanda Magala,31,South Africa,76,59,70,50,60,67,41,71,73,82,43
Abbas Musa,22,Bangladesh,58,57,28,49,60,67,25,28,28,28,25
Ish Sodhi,29,New Zealand,84,56,81,48,54,67,37,82,88,61,72
Musadiq Ahmed,32,Pakistan,59,57,34,45,62,67,34,32,33,61,15
Amit Yadav,32,India,74,56,68,44,53,67,65,67,60,93,79
Lakshay Garg,26,India,74,53,69,40,51,67,45,69,65,93,63
Ayush Jamwal,22,India,70,53,65,39,51,67,42,72,63,72,38
Mustafizur Rahman,26,Bangladesh,87,47,85,38,37,67,22,84,90,50,99
Reeza Hendricks,32,South Africa,78,77,30,87,82,66,66,30,32,30,20
Devon Conway,30,New Zealand,78,77,33,86,83,66,67,30,32,23,63
Dinesh Chandimal,32,Sri Lanka,78,77,32,86,80,66,84,29,31,36,48
Richie Berrington,34,Scotland,79,73,62,81,78,66,43,56,58,94,74
Angelo Mathews,34,Sri Lanka,83,72,73,80,73,66,61,69,72,70,96
Andy Balbirnie,31,Ireland,76,75,36,80,81,66,66,28,31,79,45
William Porterfield,37,Ireland,75,74,31,80,78,66,61,28,31,42,31
Mosaddek Hossain,26,Bangladesh,81,72,69,79,72,66,62,69,71,54,78
Shakib Al Hasan,34,Bangladesh,90,71,85,78,75,66,49,84,89,72,85
Milton Shumba,21,Zimbabwe,77,71,58,77,72,66,67,50,57,72,79
Navneet Dhaliwal,33,Canada,73,71,38,76,74,66,65,38,40,10,56
Michael Bracewell,31,New Zealand,73,72,33,73,75,66,82,34,36,9,36
Ramesh Mendis,26,Sri Lanka,80,68,71,71,70,66,50,72,73,68,59
Jitesh Sharma,28,India,72,71,31,70,77,66,82,28,30,52,21
Imad Wasim,33,Pakistan,88,68,82,69,72,66,55,83,85,61,91
Max Bryant,22,Australia,70,69,30,68,75,66,63,28,30,48,18
Rajat Dey,25,India,66,66,24,68,67,66,45,28,28,4,11
Miles Hammond,26,England,70,69,29,66,76,66,56,28,30,38,17
Dilshan Munaweera,32,Sri Lanka,71,66,53,65,72,66,26,57,56,57,20
Shehan Fernando,28,Sri Lanka,69,68,30,65,75,66,54,29,31,20,36
Nick Kelly,28,New Zealand,67,66,27,64,70,66,58,28,30,27,8
Tim Bresnan,36,England,81,65,74,63,68,66,60,74,77,65,75
Gurinder Singh,29,India,74,65,64,63,63,66,73,69,65,72,27
Mohammed Azharuddeen,27,India,67,66,25,63,68,66,80,27,28,6,22
Sammu Ashan,24,Sri Lanka,63,61,40,62,56,66,46,41,42,28,41
JP Kotze,27,Namibia,67,65,36,61,64,66,78,28,30,67,61
Ben Mike,23,England,71,64,58,58,68,66,69,51,58,63,85
Basil Hameed,29,United Arab Emirates,65,62,44,58,60,66,76,48,50,15,33
Samarth Vyas,26,India,63,63,23,58,67,66,51,28,28,4,6
Aaron Hardie,23,Australia,68,62,55,57,61,66,79,57,58,16,77
Kavishka Anjula,24,Sri Lanka,77,62,70,55,66,66,58,69,70,91,52
Cephas Zhuwao,37,Zimbabwe,65,62,44,55,66,66,43,39,41,59,57
Nitin Sharma,25,India,63,62,24,55,65,66,49,27,28,11,13
Shuvagata Hom,35,Bangladesh,70,62,60,54,64,66,67,54,54,89,77
David Delany,24,Ireland,77,58,71,52,58,66,37,65,67,87,90
Ashley Nurse,33,West Indies,77,58,71,52,54,66,58,67,66,84,95
Dhruv Patel,24,India,63,61,38,52,66,66,45,37,36,57,30
Bright Phiri,22,Zimbabwe,59,58,25,51,64,66,17,27,28,4,24
Gavin Hoey,20,Ireland,70,55,64,48,51,66,49,67,58,38,97
Hardus Viljoen,32,South Africa,80,57,76,47,58,66,44,69,72,96,95
Asif Afridi,35,Pakistan,71,57,64,46,60,66,49,65,61,57,81
Rohan Sanjaya,20,Sri Lanka,79,57,74,44,56,66,69,73,70,75,91
Ankit Manori,21,India,60,56,44,42,67,66,7,57,41,15,31
Graeme White,34,England,71,55,65,40,58,66,55,65,66,30,94
Cameron Boyce,32,Australia,75,50,71,36,49,66,33,71,71,44,97
Dharmendrasinh Jadeja,31,India,68,55,62,35,61,66,62,65,57,61,74
Nipun Ransika,22,Sri Lanka,76,47,73,29,45,66,27,69,67,92,90
Manvan Patel,22,India,68,46,64,28,43,66,26,62,62,46,96
Shafiqul Islam,24,Bangladesh,75,45,72,20,48,66,22,72,75,65,66
Sarfaraz Ahmed,34,Pakistan,77,76,34,83,81,65,88,29,31,77,18
Ravi Bopara,36,England,82,73,69,82,76,65,60,68,72,59,75
Daniel Bell-Drummond,28,England,76,75,31,81,82,65,59,30,32,40,18
Virat Singh,24,India,74,73,29,81,78,65,56,30,32,23,15
Samit Patel,37,England,83,70,74,75,75,65,53,75,76,100,31
Denesh Ramdin,36,West Indies,72,71,34,75,70,65,86,29,31,83,13
Wiaan Mulder,24,South Africa,85,70,77,74,73,65,67,73,78,83,82
Saurabh Tiwary,32,India,71,70,31,74,72,65,61,28,30,61,17
Vijay Shankar,31,India,72,69,48,72,71,65,76,50,50,57,25
Steven Taylor,28,United States of America,71,69,41,72,73,65,62,41,41,52,25
Karun Nair,30,India,71,70,32,72,76,65,61,30,32,46,30
Rajat Patidar,28,India,72,71,28,72,75,65,80,27,28,46,10
Riki Wessels,36,England,72,71,26,72,76,65,69,28,28,25,12
Prerak Mankad,27,India,76,70,58,71,76,65,71,59,58,85,28
Patrick Kruger,27,South Africa,71,68,47,70,71,65,62,46,47,36,59
Graham Clark,28,England,71,70,27,70,78,65,65,29,31,6,21
Adam Lyth,34,England,72,70,42,68,77,65,74,37,38,77,41
Mehidy Hasan Miraz,24,Bangladesh,85,66,79,67,66,65,58,74,82,100,61
Sarfaraz Khan,24,India,68,67,27,65,73,65,63,29,31,8,24
Shashank Chandrakar,27,India,68,68,24,65,73,65,78,27,28,4,11
Alex Obanda,34,Kenya,66,65,34,64,70,65,38,28,30,65,38
Supun Kavinda,22,Sri Lanka,74,63,65,62,59,65,74,66,68,52,59
Jordan Clark,31,England,73,64,64,61,64,65,66,57,58,92,91
Mangaliso Mosehle,31,South Africa,65,64,31,61,63,65,82,28,30,65,10
Mohammad Imran,25,Pakistan,72,63,63,59,68,65,48,65,65,80,33
Yashasvi Jaiswal,20,India,64,63,31,59,69,65,28,29,31,32,40
Karima Gore,23,United States of America,74,64,65,58,68,65,65,66,65,71,54
Swapnil Singh,31,India,72,61,64,57,60,65,60,66,62,30,94
Kavindu Ashan,28,Sri Lanka,61,60,26,57,56,65,66,27,27,11,31
Steven Mullaney,35,England,77,64,69,56,68,65,75,67,66,70,89
Atharva Ankolekar,21,India,70,58,63,52,56,65,51,70,58,50,69
Pasindu Lakshanka,25,Sri Lanka,60,59,26,51,57,65,85,27,28,22,20
Hasanuzzaman,30,Bangladesh,59,58,23,49,63,65,27,27,28,7,5
Farhad Reza,35,Bangladesh,71,57,65,48,57,65,63,69,70,32,61
Jack Wildermuth,28,Australia,76,54,72,46,51,65,44,69,67,85,93
Diwesh Pathania,32,India,69,56,63,46,57,65,49,65,62,54,63
Aman Hakim Khan,25,India,59,58,29,46,58,65,89,31,30,11,38
Sumon Khan,22,Bangladesh,79,53,75,45,47,65,44,70,73,91,84
Dilbar Hussain,28,Pakistan,73,49,69,41,42,65,31,63,66,80,94
Zak Chappell,25,England,66,52,60,38,49,65,64,59,61,54,64
Saurabh Kumar,28,India,71,52,66,36,54,65,54,69,61,48,94
Joshua Bishop,21,West Indies,77,49,74,34,48,65,33,71,70,80,97
Suboth Bhati,31,India,64,46,60,28,46,65,30,65,63,52,34
Abdullah Shafique,22,Pakistan,74,73,29,80,79,64,63,28,30,11,43
Ben Duckett,27,England,75,74,28,79,81,64,73,28,30,34,10
Shaun Marsh,38,Australia,73,72,29,78,77,64,55,28,30,54,8
Joe Denly,35,England,72,71,37,76,75,64,57,37,40,46,20
Mandeep Singh,30,India,72,71,32,76,77,64,60,34,36,30,14
Parth Sahani,28,India,72,71,36,75,73,64,76,36,38,20,45
Alex Ross,29,Australia,71,70,29,75,73,64,68,28,30,28,27
Sushant Modani,33,United States of America,71,71,25,75,73,64,82,27,27,25,10
JJ Smuts,33,South Africa,79,69,68,74,75,64,41,69,67,99,34
Roston Chase,29,West Indies,79,70,67,74,72,64,66,69,65,38,92
Sikandar Raza,35,Zimbabwe,77,69,64,73,72,64,69,62,62,50,90
Jay Bista,26,India,71,70,33,73,77,64,54,34,33,19,38
Upul Tharanga,37,Sri Lanka,70,69,26,72,74,64,48,28,30,11,12
Rahul Tripathi,30,India,70,69,32,71,73,64,70,33,34,15,41
Minod Bhanuka,26,Sri Lanka,70,69,30,71,70,64,81,28,31,16,43
Andries Gous,28,South Africa,71,70,27,70,74,64,86,28,28,42,7
Nipun Dananjaya,21,Sri Lanka,69,68,27,70,71,64,58,28,28,19,28
Imrul Kayes,35,Bangladesh,68,67,27,70,68,64,59,28,30,27,15
Saif Hassan,23,Bangladesh,67,66,32,69,67,64,64,34,37,7,25
Chris Benjamin,22,England,69,69,24,69,76,64,69,27,28,6,17
Hari Nishaanth,25,India,66,65,28,66,69,64,41,28,30,38,7
Andy McBrine,28,Ireland,78,63,71,64,62,64,60,64,67,84,99
Sohail Akhtar,35,Pakistan,65,64,30,64,67,64,50,30,32,27,21
Joshua Ozukum,21,India,68,67,28,63,77,64,58,31,37,4,5
Ayana Siriwardhana,22,Sri Lanka,66,60,53,57,57,64,76,52,49,67,54
Karn Sharma,34,India,79,60,73,56,62,64,50,69,67,89,94
Mark Deyal,28,West Indies,64,61,44,55,63,64,55,44,42,77,14
Binod Bhandari,32,Nepal,60,59,31,55,56,64,62,28,30,23,52
James Bazley,26,Australia,67,59,58,54,59,64,50,63,61,28,54
Sarul Kanwar,34,India,59,58,30,54,61,64,30,28,28,54,17
Lahiru Jayakody,27,Sri Lanka,60,59,28,54,64,64,31,29,31,11,28
Rishabh Chouhan,22,India,61,60,30,53,60,64,66,32,36,19,12
Brett Hampton,30,New Zealand,60,58,34,51,56,64,74,36,37,11,38
Zafar Gohar,27,Pakistan,72,56,66,48,54,64,58,71,73,32,54
Gaurav Puri,30,India,56,55,27,44,60,64,36,27,27,36,16
Armand Erasmus,29,South Africa,69,53,64,43,51,64,54,66,61,38,94
Kudzai Sauramba,30,Zimbabwe,55,54,26,42,50,64,78,27,27,16,27
Nishan Peiris,24,Sri Lanka,81,50,78,39,46,64,49,76,78,96,66
Thushara Madushanka,28,Sri Lanka,52,51,28,39,48,64,52,27,28,36,24
Somorjit Salam,28,India,51,44,46,33,36,64,9,49,38,48,63
Mir Hamza,29,Pakistan,68,46,65,32,40,64,33,65,61,68,79
Pathum Nissanka,23,Sri Lanka,75,75,27,84,80,63,77,29,31,19,14
Colin Ackermann,30,Netherlands,83,73,71,82,75,63,72,67,68,95,71
Amandeep Khare,24,India,74,73,30,81,77,63,69,28,30,30,33
Shubman Gill,22,India,73,72,28,80,77,63,61,28,30,20,24
Brendan Taylor,36,Zimbabwe,72,71,34,77,76,63,67,30,32,82,11
Theunis de Bruyn,29,South Africa,72,71,31,77,77,63,64,30,31,59,6
Ian Cockbain,35,England,73,72,27,77,76,63,73,28,30,28,7
Matthew Cross,29,Scotland,72,71,29,76,74,63,84,28,31,34,15
Robert O'Donnell,27,New Zealand,72,71,27,75,76,63,74,28,30,30,6
Ashwin Hebbar,26,India,71,69,38,74,74,63,55,35,37,59,31
Ambati Rayudu,36,India,70,69,30,73,72,63,61,28,30,46,21
George Worker,32,New Zealand,71,68,47,72,73,63,51,42,45,72,48
Karan Sharma,23,India,69,68,33,72,75,63,31,35,34,20,36
Scott Edwards,25,Netherlands,71,70,31,71,75,63,92,28,31,7,69
Shai Hope,28,West Indies,68,67,29,71,68,63,72,28,31,25,31
Sam Harper,25,Australia,71,70,28,71,74,63,86,28,30,34,14
Hilton Cartwright,30,Australia,68,67,32,70,69,63,66,30,32,54,17
John Simpson,33,England,69,68,29,69,70,63,89,28,28,46,15
Lahiru Milantha,27,Sri Lanka,70,69,27,69,75,63,70,28,28,38,4
Simi Singh,35,Ireland,84,66,78,67,69,63,58,76,76,70,97
Benny Howell,33,England,81,66,73,66,68,63,67,70,71,70,94
Ranitha Liyanarachchi,27,Sri Lanka,70,66,47,66,71,63,63,46,50,14,69
George Dockrell,29,Ireland,82,66,75,65,69,63,84,71,79,78,72
Jagatheesan Kousik,26,India,70,64,56,64,64,63,76,54,54,54,77
Sawan Kankanamge,23,Sri Lanka,67,63,46,64,65,63,49,50,45,28,47
Eben Botha,22,South Africa,67,66,27,64,76,63,37,27,28,20,28
Brydon Carse,26,England,78,65,69,62,69,63,67,65,62,92,85
Kyle Jamieson,27,New Zealand,85,64,80,61,69,63,54,73,77,99,97
Leo Carter,27,New Zealand,62,61,27,61,60,63,59,28,28,34,10
Jonathan Bird,20,South Africa,61,60,26,61,61,63,32,28,28,14,17
Atit Sheth,26,India,83,60,78,58,60,63,52,73,75,89,95
Christian Leopard,24,New Zealand,62,61,28,58,65,63,48,31,34,4,20
Sompal Kami,26,Nepal,69,60,60,57,60,63,50,64,65,30,57
Hashen Ramanayake,26,Sri Lanka,67,59,57,57,54,63,79,57,60,63,43
Shykat Ali,28,Bangladesh,61,60,30,57,60,63,52,31,32,19,25
Ben Horne,27,New Zealand,64,63,26,57,63,63,89,28,31,11,16
Hayden Walsh,29,West Indies,78,57,73,54,53,63,61,73,78,32,93
Zawar Farid,29,United Arab Emirates,61,59,35,54,61,63,53,37,37,19,30
Punit Bisht,35,India,63,63,23,54,69,63,80,27,28,5,6
Ben Dwarshuis,27,Australia,83,59,79,53,61,63,52,73,77,95,97
Kagiso Rabada,26,South Africa,85,57,81,52,57,63,52,83,90,57,59
Piyush Chawla,33,India,84,58,80,51,61,63,47,76,78,98,89
Manjula Jayawardhana,38,Sri Lanka,70,55,64,49,50,63,58,61,53,92,89
Ashith Rajiv,28,India,69,53,63,48,47,63,47,64,54,75,85
Nathan McAndrew,28,Australia,71,59,63,46,67,63,69,64,63,28,93
Sandaken Pathirana,25,Sri Lanka,74,53,70,44,47,63,65,67,68,65,96
Sampath Perera,39,Sri Lanka,63,53,57,44,54,63,32,65,62,27,31
Ravindra Karunaratne,34,Sri Lanka,53,52,26,42,54,63,31,30,31,9,6
Graeme McCarter,29,Ireland,74,54,69,41,60,63,39,65,65,83,87
Alex Thomson,28,England,71,54,65,40,59,63,52,62,58,80,94
Marco Jansen,21,South Africa,68,50,63,38,46,63,54,66,61,83,38
Mrittunjoy Chowdhury,20,Bangladesh,66,49,62,38,44,63,42,65,73,27,40
Abinash Bohara,24,Nepal,70,46,67,36,39,63,32,69,72,34,68
Ifran Hossain,25,Bangladesh,67,48,63,32,50,63,22,66,65,20,89
Mukidul Islam,21,Bangladesh,74,43,72,29,34,63,37,68,72,67,91
Monu Kumar,27,India,69,44,66,27,41,63,30,70,70,50,52
Liam Guthrie,24,Australia,62,46,58,23,49,63,50,62,60,23,68
Sam Hain,26,England,75,74,27,83,79,62,83,28,30,28,10
Calum MacLeod,33,Scotland,75,73,40,82,77,62,77,33,34,65,63
Wessley Madhevere,21,Zimbabwe,82,72,70,81,79,62,55,64,66,90,92
Dion Myers,19,Zimbabwe,73,70,45,78,73,62,59,42,45,75,22
Tom Abell,27,England,75,74,33,78,81,62,89,30,32,48,30
Stephan Baard,29,Namibia,70,69,29,78,72,62,49,30,32,27,16
Nasir Hossain,30,Bangladesh,82,69,73,76,71,62,62,69,72,95,68
Mahmudul Hasan Joy,21,Bangladesh,70,69,27,76,73,62,51,28,30,30,5
Umar Amin,32,Pakistan,71,69,38,75,74,62,55,34,37,34,59
Vriitya Aravind,19,United Arab Emirates,70,69,30,75,72,62,67,29,31,38,24
Matthew Spoors,22,Canada,69,68,25,73,78,62,28,27,28,7,22
Karim Janat,23,Afghanistan,83,64,77,72,62,62,47,74,80,59,97
Joe Weatherley,25,England,68,67,25,72,71,62,55,28,30,10,10
Pramud Hettiwatte,26,Sri Lanka,72,68,49,71,71,62,74,51,50,16,69
Atharva Taide,21,India,72,67,54,70,74,62,46,64,62,22,15
Matt Ford,27,Ireland,72,68,48,70,76,62,51,55,49,50,15
Vishnu Solanki,29,India,68,67,26,70,69,62,77,28,28,23,10
Kamran Ghulam,26,Pakistan,74,66,62,69,73,62,41,65,65,65,30
Bas de Leede,22,Netherlands,68,63,52,68,60,62,52,44,50,80,61
Wriddhiman Saha,37,India,69,68,29,68,72,62,83,28,30,54,5
Wesley Marshall,28,South Africa,70,69,27,68,78,62,61,28,28,11,30
Stephan Myburgh,37,Netherlands,66,65,26,68,70,62,33,28,30,8,16
Gurkeerat Singh Mann,31,India,68,66,36,67,69,62,67,33,33,59,34
David Bedingham,27,South Africa,66,65,27,67,70,62,52,28,28,15,28
Luis Reece,31,England,71,66,54,66,71,62,60,54,53,28,84
Regis Chakabva,34,Zimbabwe,65,64,26,64,64,62,76,28,30,14,17
Dale Phillips,23,New Zealand,66,65,28,63,66,62,83,28,30,42,10
Jaker Ali,23,Bangladesh,63,62,25,62,60,62,76,28,30,8,11
Digvijay Rangi,23,India,68,60,59,61,60,62,34,62,57,89,25
Anaru Kitchen,37,New Zealand,66,63,44,61,66,62,64,46,43,61,21
Shubham Dubey,27,India,63,62,28,61,61,62,67,27,28,34,30
Lahiru Madushanka,29,Sri Lanka,74,60,67,59,57,62,70,68,70,30,92
Josh Finnie,25,New Zealand,65,62,42,59,65,62,61,39,41,65,33
Rohail Nazir,20,Pakistan,64,63,31,59,66,62,77,28,30,40,34
Urvil Patel,23,India,66,65,27,59,72,62,78,28,28,8,34
Adam Milne,29,New Zealand,88,60,85,56,63,62,56,82,87,77,98
Shoaib Md Khan,30,India,66,58,57,53,62,62,41,62,49,77,47
Shubham Chaubey,26,India,57,56,24,53,55,62,35,28,28,5,9
Craig Overton,27,England,79,58,74,52,55,62,81,69,71,91,90
Mohammad Boota,39,United Arab Emirates,57,56,30,52,54,62,53,29,32,7,52
Lizaad Williams,28,South Africa,77,53,73,51,45,62,50,74,76,91,41
Jay Lenton,31,Australia,60,59,24,50,59,62,90,27,27,11,12
Jagadeesha Suchith,28,India,73,58,66,49,60,62,69,72,70,50,41
Chad Soper,30,Papua New Guinea,77,51,73,48,43,62,34,74,74,94,47
Justin Avendano,28,Australia,53,52,27,48,51,62,21,27,28,34,12
Okera Bascome,28,Bermuda,54,53,31,47,47,62,67,28,30,10,63
Mohammad Mohsin,25,Pakistan,70,53,65,46,49,62,58,62,58,80,91
Ayabulela Gqamane,32,South Africa,66,56,59,46,60,62,56,59,54,91,47
Chathura Peiris,31,Sri Lanka,65,52,59,43,50,62,51,65,62,25,57
Marty Kain,33,United States of America,66,57,58,43,60,62,81,62,56,25,84
Ishaan Gadekar,24,India,52,51,26,43,53,62,7,27,28,19,16
Mithun Jayawickrama,31,Sri Lanka,55,51,43,42,46,62,65,50,46,27,18
Jack Prestwidge,25,Australia,73,51,69,41,51,62,34,65,63,94,88
Saranga Rajaguru,29,Sri Lanka,62,50,56,39,47,62,55,58,58,46,54
Akash Deep,25,India,73,50,69,37,49,62,52,72,70,91,33
Gus Atkinson,24,England,79,49,76,36,45,62,56,68,75,97,87
Auqib Nabi,25,India,73,48,70,36,46,62,35,66,66,85,91
Mason Hughes,23,New Zealand,48,47,26,33,49,62,9,27,28,28,8
Mohammad Irfan,39,Pakistan,85,40,84,30,29,62,14,81,83,83,99
Ravisrinivasan Sai Kishore,25,India,78,45,76,30,43,62,34,77,74,88,68
Ajinkya Rahane,33,India,73,72,32,81,77,61,63,28,31,52,30
Tanmay Agarwal,26,India,72,71,29,77,77,61,61,28,30,22,34
Kamindu Mendis,23,Sri Lanka,78,70,64,76,77,61,52,67,63,67,54
Kyle Verreynne,24,South Africa,71,70,27,75,74,61,79,28,30,23,16
Kashyap Prajapati,26,Oman,69,68,27,73,70,61,75,28,30,5,36
Narayan Jagadeesan,26,India,68,67,27,73,70,61,59,28,30,20,17
Gayan Maneeshan,30,Sri Lanka,67,65,40,71,64,61,66,41,45,52,6
Subhranshu Senapati,25,India,68,67,25,71,70,61,71,28,28,13,17
Ariful Haque,29,Bangladesh,66,65,33,70,64,61,75,34,37,34,16
Matthew Breetzke,23,South Africa,68,67,31,70,74,61,47,28,30,40,38
Joe Cracknell,21,England,70,69,29,70,77,61,67,28,28,36,31
Michau du Preez,26,Namibia,66,65,28,70,70,61,40,28,28,15,40
Gyanendra Malla,31,Nepal,66,65,26,70,66,61,65,28,30,13,11
Zeeshan Maqsood,34,Oman,73,65,61,69,69,61,38,65,65,25,69
Pavan Deshpande,32,India,69,67,36,69,73,61,57,39,37,36,20
Tayyab Tahir,28,Pakistan,68,67,28,69,75,61,40,27,28,44,11
Ryan Rickelton,25,South Africa,68,67,27,69,71,61,71,29,30,22,9
Rahul Buddhi,24,India,68,67,27,69,72,61,59,28,30,28,7
David Lloyd,29,England,67,66,33,68,74,61,48,33,36,40,9
Ahsan Ali,28,Pakistan,67,66,28,68,73,61,47,28,31,40,6
Jatin Wadhwan,27,India,66,65,26,68,68,61,52,27,28,16,28
Hammad Azam,30,Pakistan,78,64,70,66,67,61,56,67,68,88,71
Steven Davies,35,England,69,68,30,66,76,61,78,28,30,46,22
Gary Ballance,32,England,65,64,27,66,66,61,68,28,28,36,13
Rachin Ravindra,22,New Zealand,82,62,76,61,65,61,61,77,78,73,65
Sachitha Jayathilake,24,Sri Lanka,72,58,65,61,53,61,40,63,58,83,84
Kaushal Singh,25,India,70,60,62,60,60,61,52,60,60,75,66
Kiplin Doriga,26,Papua New Guinea,61,60,31,60,53,61,90,28,30,63,12
Dhananjaya Lakshan,23,Sri Lanka,69,60,60,58,62,61,61,54,60,82,66
Chirag Jani,32,India,69,60,60,57,63,61,62,64,56,38,82
Kumar Deobrat,29,India,59,58,30,56,59,61,47,28,30,48,15
Keron Cottoy,32,West Indies,64,58,53,54,56,61,72,49,47,79,63
Llew Johnson,22,New Zealand,59,58,27,53,59,61,64,28,28,36,6
Dylan Budge,26,Scotland,56,54,34,52,46,61,55,31,36,30,45
Kane Richardson,31,Australia,82,57,78,51,56,61,64,78,84,70,63
Sean Abbott,29,Australia,79,56,75,51,53,61,78,75,82,42,79
KV Sasikanth,26,India,78,57,73,51,56,61,71,70,70,95,75
Chama Milind,27,India,80,56,76,47,57,61,61,72,76,98,74
Chathuranga Kumara,30,Sri Lanka,66,55,59,47,57,61,46,57,56,93,45
Tanay Thyagarajan,26,India,65,56,57,44,58,61,78,66,52,25,69
Will Sutherland,22,Australia,64,49,59,42,42,61,45,58,60,44,71
Nyeem Young,21,West Indies,72,49,68,38,41,61,74,64,65,80,81
Matthew Kelly,27,Australia,74,50,70,35,50,61,53,68,71,72,69
Kamrul Islam,30,Bangladesh,77,47,74,34,46,61,38,68,72,97,84
Roosh Kalaria,29,India,72,45,69,29,44,61,44,71,70,95,30
